Название вакансии,URL,Название компании,Описание
PHP разработчик / PHP Developer,https://perm.hh.ru/vacancy/29292982?query=php, Spice Agency,"Участие в проектах с высокой нагрузкой. Среди задач: разработка высоконагруженных модулей, развитие текущего продукта, участие в разных юнитах. Если у вас есть коммерческий опыт разработки на PHP от 3 лет или на GO от года - мы вас ждем! ("
PHP-разработчик,https://perm.hh.ru/vacancy/34128178?query=php, LT Digital Group,"Разрабатывать и поддерживать сайты группы компаний. Разрабатывать внутренние и внешние системы. Пользовались продуктами Atlassian (Jira, Confluence, BitBucket). Наличие опыта грамотного использования приемов ООП в PHP. Умение писать качественный код на PHP. Умение пользоваться git'ом. "
PHP Developer,https://perm.hh.ru/vacancy/34379700?query=php, FORI FELSE,"Новому PHP Developer, нужно будет погрузиться в разработку над системой показателей с новой продуктовой начинкой для компании с мировым именем.  Умение проектирования структуры в собственных задачах. Хорошее знания PHP7, SQL, JS. Опыт работы с API. Ответственность и умение работать..."
Программист PHP,https://perm.hh.ru/vacancy/33982017?query=php, Легис безопасность,"Разработка системы обучения сотрудников охраны. Разработка собственной системы безопасности на охраняемых объектах. Разработка backend'а на symfony. Разработка frontend'а... Навыки работы с php, js. Опыт создания web интерфейсов. Желание решать сложные задачи. Логическое мышление. Желание развиваться, активность, инициативность. "
PHP developer,https://perm.hh.ru/vacancy/34067301?query=php,ООО Геймгард,"Автоматическая отправка сообщений через API в мессенджеры: discord, telegram, fb, будем сводить общение наших клиентов через мессенджеры в единую систему... Знание PHP на хорошем уровне. Знание Linux. Понимание работы протоколов передачи данных, ООП. Умение работать в системах контроля версий. "
Backend PHP разработчик,https://perm.hh.ru/vacancy/33972787?query=php, Voximplant,"Участие в разработке админской панели для сервисов телефонии. Создание REST API для Frontend частей. Интеграция с нашим облаком Voximplant по... Опыт разработки на PHP от 2-х лет: классы, модули, работа с кодировками, сетевыми запросами. Знать, что такое Docker и..."
PHP-программист,https://perm.hh.ru/vacancy/34377506?query=php, Mottor,"Проектировать и разрабатывать сервисы. Профилировать и оптимизировать запросы к БД. Рефакторить существующий код. Ревьюить код. Разрабатывать авто-тесты. Писать документацию.  JavaScript, jQuery, Vue.js, gulp / webpack. PHP 7+, опыт работы с одним из PHP-фреймворков (Yii, Laravel, Symfony, Zend). "
Backend PHP разработчик,https://perm.hh.ru/vacancy/34383491?query=php,ООО Курьерист,"Разработка нового и модификация старого функционала. Документирование разработки. Интеграция с внешними системами (API). Экспертное знание PHP. Понимание и практическое использование принципов SOLID, паттернов проектирования. Опыт с фреймворками Yii2, Symfony. Опыт работы с..."
PHP-разработчик,https://perm.hh.ru/vacancy/34322076?query=php,ООО ИНТЕКС,"Разработка/модификация функциональности. Разработка сервисов. Разработка API. Знание и использование в рабочих проектах следующих технологий: PHP 7. Laravel. Vue, Vuex, Vue-router, bootstrap-vue. SQL. Docker. "
Php-разработчик,https://perm.hh.ru/vacancy/34173907?query=php, Stik,"Разрабатывать сайты и интернет-магазины на 1С-Битрикс. Поддерживать текущие клиентские проекты и улучшать их (MODX revo + minishop).  Знания PHP на уровне middle, желание развиваться в этом языке. Git. Базовые знания MySQL. Умение читать и разбираться в чужом..."
Senior PHP developer (B2B),https://perm.hh.ru/vacancy/34377341?query=php, Zoon.ru,"Для команды B2B — разрабатывать личный кабинет со статистикой, телефонией и другим функционалом. Примеры задач, которые решает команда: Отправка... Важно отличное знание PHP: на уровне понимания работы с памятью, сложности алгоритмов, умения писать устойчивый код. Мы используем MongoDB, но..."
Программист PHP (Laravel),https://perm.hh.ru/vacancy/34081505?query=php,ООО 4 пикселя,разработкой нового функционала под новые бизнес задачи. - проводить рефакторинг уже существующего кода на новые проекты. отличное знание PHP + MySQL. - приветствуется знание других языков программирования и баз данных. - опыт использования одного из современных PHP фреймворков...
"PHP developer (Yii, Yii2)",https://perm.hh.ru/vacancy/27773136?query=php, Безлимит,"Разработка нового функционала и оптимизация старого. Рефакторинг кода. Оптимизация БД. Опыт работы с фреймворком Yii, Yii2 от 3-х лет. Знание SQL (опыт работы с mongo приветствуется). GIT. "
PHP-разработчик,https://perm.hh.ru/vacancy/33661351?query=php,ООО Метротел,"модификация существующего ПО. - написание нового ПО. - развитие и поддержание крупного облачного проекта. - активное участие в проектировании и построении процесса разработки. знание PHP, MySQL, JS, Ajax, HTML, CSS. - опыт работы с фреймворками. - умение разбираться в чужом коде. - знание сетевых протоколов и..."
PHP-разработчик,https://perm.hh.ru/vacancy/33654622?query=php,ООО Метротел,"модификация существующего ПО. - написание нового ПО. - развитие и поддержание крупного облачного проекта. - активное участие в проектировании и построении процесса разработки. знание PHP, MySQL, JS, Ajax, HTML, CSS. - опыт работы с фреймворками. - умение разбираться в чужом коде. - знание сетевых протоколов и..."
Senior PHP developer (Laravel),https://perm.hh.ru/vacancy/34140449?query=php, B2Broker Санкт-Петербург,"Готовы учиться и делиться знаниями с другими членами команды. В состоянии читать документацию и StackOverflow на английском. Опыт разработки REST API. Знание языков программирования, отличных от PHP. Умение конструировать сложные SQL-запросы, понимание того, как работают джойны..."
Senior PHP-developer,https://perm.hh.ru/vacancy/34063756?query=php,ООО Альмус Медиа Бай,"В улучшении уже работающих продуктов компании с миллионами пользователей. В полном цикле создания линейки новых продуктов (проектирование, разработка и запуск). Твердые знания и глубокий опыт в PHP, JavaScript, SQL/noSQL. Понимание принципов ООП и паттернов проектирования. Опыт использования различных PHP..."
PHP Developer (Laravel),https://perm.hh.ru/vacancy/34140697?query=php, B2Broker Санкт-Петербург,"Готовы учиться и делиться знаниями с другими членами команды. В состоянии читать документацию и StackOverflow на английском. Знание хотя бы одного из современных PHP-фреймворков. Знание Laravel или желание быстро изучить. Знание языков программирования, отличных от PHP. "
Программист PHP,https://perm.hh.ru/vacancy/34043449?query=php, Артик,"Разработка и развитие собственного интернет-магазина компании на платформе 1С-Битрикс (bitrix) - каталог 150 000 товаров. Поддержка и развитие... Управление сайтом» либо аналогичных (Yii / Symfony / etc ). Уверенное знание PHP 5 (ООП), умение применять принципы ООП на практике. "
PHP Developer,https://perm.hh.ru/vacancy/34324428?query=php,ООО Зоркамоби,"Zorka.Mobi — агентство инфлюенсер и performance маркетинга. Мы продвигаем бренды и мобильные приложения по всему миру с помощью лидеров мнений, внутренней... HTML/CSS/JS."
PHP-программист,https://perm.hh.ru/vacancy/34318030?query=php," AFT Digital, агентство","Поддержка сайтов. Разработка сайтов, интернет-магазинов, порталов. HTML (HTML 5, XHTML). JavaScript (Ajax, jQuery). PHP 5.x. MySQL 5.x. 1С-Bitrix."
Программист PHP,https://perm.hh.ru/vacancy/34373960?query=php,ООО 1С-Старт,Покрытии кода тестами. Системах контроля версий (git). Работе с очередями. PHP 7.3....7.4. Современные PSR-совместимые фреймворки с... Опыт разработки на PHP от 2 лет. Наличие запущенных проектов обязательно. Желательно знание одного из современных фреймворков (Symfony/Laravel/Yii). 
PHP-программист,https://perm.hh.ru/vacancy/34137277?query=php, Design Lab,"Интеграция верстки. Поддержка текущих проектов. Разработка новых проектов. Опыт разработки от 2 лет. Уверенное знание PHP, MySQL, HTML/CSS. Знание какого-либо PHP-фреймворка или CMS. "
PHP developer (Symfony),https://perm.hh.ru/vacancy/31805670?query=php,ООО Управление Бизнесом," Основные требования: Не менее 2 лет веб-программирования на PHP и MySQL / PostgreSQL. PHP 7, ООП, шаблоны проектирования. "
Team Lead PHP,https://perm.hh.ru/vacancy/33976775?query=php,ООО БИТ," Работа полностью удаленная, поэтому ответственность и самоорганизация, действительно, крайне важны. PHP, Symfony (некоторые проекты); Mysql, Postgres; Front-end stack: react..."
PHP backend senior developer (Symfony/Laravel),https://perm.hh.ru/vacancy/33978138?query=php, Alyce,"Умеешь разрабатывать и поддерживать архитектурные решения. Знаешь хорошие и плохие практики к построению API. Infrastructure: GitLab CI/CD, Google Cloud, Kubernetes, Redis, Docker."
PHP-программист,https://perm.hh.ru/vacancy/34304713?query=php,"ООО Egamings, филиал г. Псков","Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест (вопросы php, sql -основные html, css, js - дополнительные... Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП (middle, senior). Основы Debian/Ubuntu Linux на уровне..."
Junior/Middle PHP developer (Bitrix),https://perm.hh.ru/vacancy/34379299?query=php,ООО СТР-Косметикс,"FOAM - онлайн-магазин косметики. -разработка и поддержка интернет-магазина foambox.ru, backend. базовые знания HTML5/CSS3, JS/Jquery, Mysql, понимания работы сети. -хорошие знания PHP 7+, ооп, bitrix (в..."
Веб-программист (PHP),https://perm.hh.ru/vacancy/25550854?query=php, Гарант,"Cопровождение сайта информационно-правового портала (СМИ) ГАРАНТ.РУ с посещаемостью более 10 млн человек в месяц. Написание программного кода для утвержденного... Приветствуются профильные курсы и профессиональные аттестаты (cредства разработки ПО в рамках актуальных технологий). Владение технологиями PHP, MYSQL, JAVASCRIPT, XML, AJAX..."
PHP-программист (laravel),https://perm.hh.ru/vacancy/34287185?query=php, Дуотек,"Разработка бекенда, API, поддержка технической документации. Обслуживание кода и устранение неисправностей. Опыт с Laravel от 1 года. Опыт в веб-разработке от 3-х лет. Обучаемость, желание расти. Git."
PHP-программист,https://perm.hh.ru/vacancy/34304573?query=php,"ООО Egamings, филиал г. Псков","Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест (вопросы php, sql -основные html, css, js - дополнительные... Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП (middle, senior). Основы Debian/Ubuntu Linux на уровне..."
PHP-программист,https://perm.hh.ru/vacancy/31186060?query=php,АО Д2 Страхование,"Разработка и поддержка back-end для Битрикс. Проектирование и разработка API, интеграция с различными партнерскими сервисами. Поддержка сайта.  Легко и чисто кодит на JS и PHP, может в React/Vue/Angular. Понимает как устроена сетевая архитектура и интеграции..."
Начинающий PHP-программист,https://perm.hh.ru/vacancy/29139466?query=php, ЗАЗЕКС,"Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна.  Ответственность. Техническое образование (допускается неоконченное). Обучаемость. Знание PHP. Желательно знание SQL‚ JavaScript. Желателен какой-то опыт работы в области программирования. "
PHP-разработчик,https://perm.hh.ru/vacancy/34311731?query=php,ООО Айти Прайм,Проектированием и разработкой новых систем. - Развитием и поддержкой внутренних систем. - Проводить code review. - Готовы проектировать и создавать. - Работали над архитектурой... Что нужно знать и уметь: - Уверенные знания PHP 7.3. - Уверенное владение SQL. - Понимание и следование принципам SOLID. - 
PHP-программист,https://perm.hh.ru/vacancy/34374197?query=php,ООО Профитпоинт,"Разработка сервиса хранящего данные и контролирующего бизнесс-процессы промышленной автоматики (станки и их статусы и состояния, склад и его учет... Хорошее знание PHP 7. Хорошее знание SQL баз данных (Postgresql, MySQL и тд). Опыт работы с популярными фреймворками под PHP..."
"Web-разработчик (PHP, JS)",https://perm.hh.ru/vacancy/32455962?query=php, BeeJee," Опыт коммерческой full-stack разработки от года. Понимание культуры кода, стандартов разработки. Английский на уровне свободного чтения документации. "
"Web-разработчик (PHP, JS)",https://perm.hh.ru/vacancy/32536104?query=php, BeeJee," Опыт коммерческой full-stack разработки от года. Понимание культуры кода, стандартов разработки. Английский на уровне свободного чтения документации. "
Веб-разработчик (PHP + Yii2),https://perm.hh.ru/vacancy/31686009?query=php, Shop&Show,"синхронизации компонентов системы через очереди. Завершённые проекты на PHP и MySQL. Опыт работы с фреймворками под PHP (Yii, Yii 2 - в приоритете). Владение средствами коллективной..."
